product_name,product_rating,num_of_reviews,product_price
TCL 138.78 cm (55 inches)  AI 4K UHD Certified Android Smart LED TV 55P8 (Black) (2019 Model),4.1,1352,35999.0
LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray) (2020 Model),4.2,4242,35999.0
LG 139 cm (55 inches) 4K UHD Smart LED TV 55UM7290PTD (Ceramic BK + Dark Steel Silver) (2019 Model),4.2,1876,35999.0
LG 108 cm (43 inches) 4K UHD Smart LED TV 43UM7290PTF (Ceramic Black) (2019 Model),4.2,1876,35999.0
LG 108 cm (43 inches) Full HD LED Smart TV 43LM5650PTA (Ceramic Black) (2020 Model),4.2,4242,35999.0
LG 126 cm (50 inches) 4K Ultra HD Smart LED TV 50UM7290PTD (Ceramic BK + Dark Steel Silver) (2019 Model),4.2,1876,35999.0
LG 31.5-inch (80 cm) Full-HD IPS Monitor - 32MN58H,4.1,271,35999.0
LG 164 cm (65 inches) 4K Ultra HD Smart IPS LED TV 65UM7290PTD (Ceramic Black) (2020 Model),4.2,1876,35999.0
LG 108 cms (43 inches) 4K Ultra HD Smart LED TV 43UM7780PTA | With Built-in Alexa (Ceramic Black) (2019 Model),4.4,45,35999.0
Panasonic 147 cm (58 inches) 4K Ultra HD Certified Android Smart LED TV TH-58HX450DX (Black) (2020 Model),4.0,58,35999.0
TCL 100 cm (40 inches) Full HD Certified Android Smart LED TV 40S6500FS (Black) (2020 Model),3.9,469,35999.0
LG 80 cms (32 inches) HD Ready Smart LED TV 32LM636BPTB (Dark Iron Gray) (2019 Model),3.9,49,35999.0
LG 80 cm (32 Inches) HD Ready LED TV 32LK536BPTB (Gray) (2018 model),4.2,215,35999.0
LG 164 cm (65 inches) 4K Ultra HD Smart OLED TV 65CXPTA (Dark Steel Silver) (2020 Model),3.4,18,35999.0
LG 108 cm (43 Inches) Full HD Smart LED TV 43LM5600PTC (Dark Iron Gray) (2019 Model),4.2,4242,35999.0
LG 108 cm (43 inches) Full HD Smart LED TV 43LM6360PTB (Dark Iron Gray) (2019 Model),4.1,62,35999.0
LG 109.22cm (43 inch) Ultra HD (4K) LED Smart TV (43UN7300PTC),3.8,5,35999.0
LG 139 cm (55 inches) 4K Ultra HD Smart NanoCell TV 55NANO80TNA (Ceramic Black) (2020 Model),4.0,8,35999.0
"LG 24 inch Gaming Monitor - 1ms, 75Hz, AMD Freesync, Full HD, IPS Panel ",4.2,1580,35999.0
Vu 108 cm (43 inches) Full HD UltraAndroid LED TV 43GA (Black) (2019 Model),4.2,7822,35999.0
Dylect 80 cm (32 Inches) HD Ready LED TV 32IPS30H (Black) (2020 Model),4.1,6,35999.0
AKAI 108 cm (43 Inches) Fire TV Edition Full HD Smart LED TVAKLT43S-DFS6T (Black) (2020 Model),5.0,1,35999.0
Vu 80 cm (32 inches) HD Ready UltraAndroid LED TV 32GA (Black) (2019 Model),4.2,7822,14799.0
Vu 139 cm (55 inches) 4K Ultra HD Smart Android LED TV | With 5-Hotkeys 55UT (Black) (2020 Model),4.4,1213,14799.0
LG 139 cm (55 inches) 4K Ultra HD Smart OLED TV 55CXPTA (Dark Steel Silver) (2020 Model),3.4,18,14799.0
"LG 139.7 cm (55 Inches) Smart Ultra HD 4K LED TV 55UN7300PTC (2020 Model, Black) (Black)",3.6,8,14799.0
"LG 31.5 inch (80 cm) LED Monitor - Full HD, IPS Panel ",4.1,169,14799.0
LG 164 cm (65 inches) 4K Ultra HD Smart IPS LED TV 65UN8000PTA (Ceramic Black) (2020 Model),,,14799.0
"LG 19.5"" HD (1366 x 768) TN Panel Monitor ",3.6,113,14799.0
